Title,Genre,,,,Date_of_film,Language
Enter the Anime,Documentary,,,,2019,English/Japanese
Dark Forces,Thriller,,,,2020,Spanish
The App,Science fiction/Drama,,,,2019,Italian
The Open House,Horror thriller,,,,2018,English
Kaali Khuhi,Mystery,,,,2020,Hindi
Drive,Action,,,,2019,Hindi
Leyla Everlasting,Comedy,,,,2020,Turkish
The Last Days of American Crime,Heist film/Thriller,,,,2020,English
Paradox,Musical/Western/Fantasy,,,,2018,English
Sardar Ka Grandson,Comedy,,,,2021,Hindi
Searching for Sheela,Documentary,,,,2021,English
The Call,Drama,,,,2020,Korean
Whipped,Romantic comedy,,,,2020,Indonesian
All Because of You,Action comedy,,,,2020,Malay
Mercy,Thriller,,,,2016,English
After the Raid,Documentary,,,,2019,Spanish
Ghost Stories,Horror anthology,,,,2020,Hindi
The Last Thing He Wanted,Political thriller,,,,2020,English
What Happened to Mr. Cha?,Comedy,,,,2021,Korean
Death Note,Horror thriller,,,,2017,English
"Hello Privilege. It's Me, Chelsea",Documentary,,,,2019,English
Secret Obsession,Thriller,,,,2019,English
Sextuplets,Comedy,,,,2019,English
The Girl on the Train,Thriller,,,,2021,Hindi
Thunder Force,Superhero-Comedy,,,,2021,English
Fatal Affair,Thriller,,,,2020,English
Just Say Yes,Romantic comedy,,,,2021,Dutch
Seriously Single,Comedy,,,,2020,English
The Misadventures of Hedi and Cokeman,Comedy,,,,2021,French
5 Star Christmas,Comedy,,,,2018,Italian
After Maria,Documentary,,,,2019,English/Spanish
I Am the Pretty Thing That Lives in the House,Horror,,,,2016,English
Paris Is Us,Romance drama,,,,2019,French
Porta dos Fundos: The First Temptation of Christ,Comedy,,,,2019,Portuguese
Rattlesnake,Horror,,,,2019,English
The Players,Comedy,,,,2020,Italian
We Are One,Documentary,,,,2020,French
Finding Agnes,Drama,,,,2020,Filipino
IO,Science fiction/Drama,,,,2019,English
Sentinelle,Action,,,,2021,French
Sol Levante,Anime / Short,,,,2020,English
The Binding,Drama,,,,2020,Italian
